zip,percentage,tobacco,alcohol,B02001_001E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03001_002E,B03001_003E
10451,36.1,30,26,48136,8209,21112,756,868,77,20080,18921,29215
10452,36.2,54,31,75452,12582,26391,911,1657,374,36778,23055,52397
10453,37.8,43,28,81716,9578,29228,931,1616,128,43236,25199,56517
10454,43.1,23,17,37212,6773,13180,565,198,35,17625,11974,25238
10455,38.1,21,18,41951,6471,13655,655,526,234,21817,11872,30079
10456,37.2,45,28,92717,13357,45346,1723,1141,260,34277,37909,54808
10457,37.1,59,32,74822,14585,35010,1002,1010,303,25496,24574,50248
10458,34.0,66,21,85620,16198,18517,662,3271,270,50429,24942,60678
10459,33.6,35,22,48780,6908,17325,661,398,75,25308,15211,33569
10460,35.6,42,20,59432,12135,21693,672,1301,213,25650,18518,40914
10461,15.4,57,22,49690,25779,6077,716,6601,205,13314,25757,23933
10462,19.1,45,21,75714,19726,23935,1374,11683,245,23139,40915,34799
10463,16.7,31,13,71132,36609,13844,1454,3622,84,20266,35444,35688
10463,16.7,31,13,71132,36609,13844,1454,3622,84,20266,35444,35688
10463,16.7,31,13,71132,36609,13844,1454,3622,84,20266,35444,35688
10463,16.7,31,13,71132,36609,13844,1454,3622,84,20266,35444,35688
10464,7.1,4,3,4531,3242,1,0,227,0,1219,2627,1904
10465,12.7,17,13,43671,27021,6723,251,1382,20,9891,23550,20121
10466,17.8,29,13,75039,10036,54926,1444,2604,70,8117,57436,17603
10467,25.2,71,32,101255,26942,38445,1333,6906,416,31918,48520,52735
10468,29.8,39,23,78881,13850,21414,1153,2286,333,42380,18288,60593
10469,15.6,29,10,72384,13831,42763,886,4930,169,12878,51414,20970
10470,12.5,17,6,15716,7007,6933,114,609,36,1546,12758,2958
10471,9.3,12,4,22422,16001,3056,164,1617,45,2701,16988,5434
10472,31.2,43,27,67948,10135,19979,1262,6352,106,32679,25364,42584
10473,26.5,18,13,59579,22980,25331,834,1129,92,12056,23065,36514
10474,47.9,14,11,12179,1442,5548,116,44,0,5523,4586,7593
10475,11.3,13,5,42818,7840,29464,1518,1351,14,5500,30394,12424
10001,13.1,59,19,24117,16324,2001,287,5570,25,853,20376,3741
10002,27.4,54,32,74479,26682,8193,1169,32249,135,9321,54925,19554
10003,9.2,48,32,53977,41744,3295,172,8500,184,1387,49418,4559
10004,1.3,19,6,3335,2148,160,0,1089,18,36,3227,108
10005,9.5,14,4,8701,6825,109,10,1848,0,237,8149,552
10006,3.4,6,4,3092,2424,99,0,611,0,110,2757,335
10007,2.2,26,12,7408,5878,652,28,888,0,143,6542,866
10009,23.5,40,23,58293,37947,6229,294,9248,52,6944,44426,13867
10010,10.8,23,12,35906,25736,3783,161,6542,50,881,32099,3807
10011,9.9,40,17,49949,41636,2844,319,5308,25,1520,43991,5958
10012,11.1,27,17,23318,17942,823,180,4821,0,513,21512,1806
10013,10.7,43,25,28799,17579,1384,285,9766,24,877,26883,1916
