district,schooldbn,name,telephone,address,Postcode,Borough,url,Latitude,Longitude
1,01M034,P.S. 034 Franklin D. Roosevelt,212-228-4433,"730 East  12 Street, New York, NY 10009",10009.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8843,40.726473,-73.975181
1,01M140,P.S. 140 Nathan Straus,212-677-4680,"123 Ridge Street, New York, NY 10002",10002.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8855,40.71925,-73.983056
1,01M184,P.S. 184m Shuang Wen,212-602-9700,"327 Cherry Street, New York, NY 10002",10002.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8860,40.711549,-73.986542
1,01M188,P.S. 188 The Island School,212-677-5710,"442 East Houston Street, New York, NY 10002",10002.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8863,40.719598,-73.977904
1,01M332,University Neighborhood Middle School,212-267-5701,"220 Henry Street, New York, NY 10002",10002.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8869,40.713684,-73.986336
1,01M378,School for Global Leaders,212-260-5375,"145 Stanton Street, New York, NY 10002",10002.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8876,40.720581,-73.985645
1,01M450,East Side Community School,212-460-8467,"420 East 12 Street, New York, NY 10009",10009.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8879,40.729589,-73.982555
1,01M539,"New Explorations into Science, Technology & Math",212-677-5190,"111 Columbia Street, New York, NY 10002",10002.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8881,40.718895,-73.979308
1,01M839,Tompkins Square Middle School,212-995-1430,"600 East  6 Street, New York, NY 10009",10009.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8885,40.724435,-73.981521
2,02M104,J.H.S. 104 Simon Baruch,212-674-4545,"330 East  21 Street, New York, NY 10010",10010.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8939,40.736094,-73.980663
2,02M114,East Side Middle School,212-360-0114,"331 East 91St Street, New York, NY 10128",10128.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8943,40.780706,-73.948553
2,02M126,Manhattan Academy of Technology/Jacob Riis,212-962-2188,"80 Catherine Street, New York, NY 10038",10038.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8949,40.710729,-73.996631
2,02M131,Sun Yat Sen Middle School,212-219-1204,"100 Hester Street, New York, NY 10002",10002.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8955,40.716553,-73.993092
2,02M167,J.H.S. 167 Robert F. Wagner,212-535-8610,"220 East  76 Street, New York, NY 10021",10021.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8964,40.77205,-73.958066
2,02M177,Yorkville East Middle School,917-432-5413,"1458 York Avenue, New York, NY 10075",10075.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8965,40.770419,-73.951135
2,02M217,P.S./I.S. 217 Roosevelt Island,212-980-0294,"645 Main Street, New York, NY 10044",10044.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8973,40.763894,-73.947916
2,02M225,Ella Baker School,212-717-8809,"317 East  67 Street, New York, NY 10065",10065.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8977,40.765359,-73.960059
2,02M255,M.S. 255 Salk School of Science,212-614-8785,"320 East 20Th Street, New York, NY 10003",10003.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8981,40.735751,-73.981655
2,02M260,The Clinton School,212-524-4360,"10 East 15Th Street, New York, NY 10003",10003.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8983,40.736518,-73.992725
25,25Q164,P.S. 164 Queens Valley,718-544-1083,"138-01 77 Avenue, Queens, NY 11367",11367.0,QUEENS,https://www.myschools.nyc/en/schools/middle-school/11890,40.720924,-73.823362
2,02M276,Battery Park City School,212-266-5800,"55 Battery Place, New York, NY 10280",10280.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8985,40.70644,-74.017818
2,02M289,Hudson River Middle School,212-571-9268,"201 Warren Street, New York, NY 10282",10282.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8993,40.716668,-74.013542
2,02M297,M.S. 297 (75 Morton),212-295-7555,"75 Morton Street, New York, NY 10014",10014.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/8998,40.730999,-74.007191
2,02M312,New York City Lab Middle School for Collaborative Studies,212-691-6119,"333 West  17 Street, New York, NY 10011",10011.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9004,40.742129,-74.002198
2,02M347,The 47 American Sign Language & English Lower School,917-326-6609,"223 East 23 Street, New York, NY 10010",10010.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9010,40.738548,-73.982455
2,02M397,Spruce Street School,212-266-4800,"12 Spruce Street, New York, NY 10038",10038.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9017,40.711132,-74.005277
2,02M407,Institute for Collaborative Education,212-475-7972,"345 East  15Th Street, New York, NY 10003",10003.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9022,40.732447,-73.983031
2,02M408,Professional Performing Arts School,212-247-8652,"328 West  48 Street, New York, NY 10036",10036.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9025,40.761448,-73.988019
2,02M413,School of the Future Middle and High School,212-475-8086,"127 East  22 Street, New York, NY 10010",10010.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9029,40.738952,-73.985479
3,03M076,P.S. 076 A. Philip Randolph,212-678-2865,"220 West 121 Street, New York, NY 10027",10027.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9131,40.806768,-73.951061
2,02M422,Quest to Learn,212-488-3645,"351 West  18 Street, New York, NY 10011",10011.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9036,40.742867,-74.002136
2,02M442,"Ballet Tech, NYC Public School for Dance",212-254-1803,"890 Broadway, New York, NY 10003",10003.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9043,40.738604,-73.989911
2,02M896,Lower Manhattan Community Middle School,646-826-8100,"26 Broadway, New York, NY 10004",10004.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9069,40.70568,-74.013302
2,02M933,City Knoll Middle School,212-695-9115,"425 West 33Rd Street, New York, NY 10001",10001.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9070,40.753091,-73.99764
3,03M054,J.H.S. 054 Booker T. Washington,212-678-2861,"103 West 107 Street, New York, NY 10025",10025.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9129,40.800119,-73.962837
3,03M149,P.S. 149 Sojourner Truth,646-672-9020,"41 West 117 Street, New York, NY 10026",10026.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9142,40.802136,-73.947828
3,03M180,P.S. 180 Hugo Newman,212-678-2849,"370 West 120Th Street, New York, NY 10027",10027.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9151,40.807843,-73.955569
3,03M191,The Riverside School for Makers and Artists,347-478-5228,"300 West 61St Street, New York, NY 10023",10023.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9156,40.772883,-73.989609
3,03M243,M.S. 243 Center School,212-799-1477,"100 West  84 Street, New York, NY 10024",10024.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9163,40.785287,-73.97343
6,06M346,Community Health Academy of the Heights,212-342-6600,"504 West 158Th Street, New York, NY 10032",10032.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9513,40.833687,-73.942072
3,03M245,M.S. M245 The Computer School,917-441-0873,"100 West  77 Street, New York, NY 10024",10024.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9164,40.780822,-73.976855
3,03M247,M.S. M247 Dual Language Middle School,212-496-1050,"100 West  77 Street, New York, NY 10024",10024.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9165,40.780822,-73.976855
3,03M250,M.S. 250 West Side Collaborative Middle School,212-866-6313,"735 West End Avenue, New York, NY 10025",10025.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9166,40.795157,-73.973292
3,03M256,Lafayette Academy,212-222-2857,"154 West  93 Street, New York, NY 10025",10025.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9167,40.791709,-73.970802
3,03M862,Mott Hall II,212-678-2960,"234 West 109 Street, New York, NY 10025",10025.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9195,40.802917,-73.965613
3,03M258,Community Action School - MS 258,212-678-5888,"154 West  93 Street, New York, NY 10025",10025.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9168,40.791709,-73.970802
3,03M291,West End Secondary School,212-245-1506,"227-243 West 61St Street, New York, NY 10023",10023.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9170,40.772007,-73.987479
3,03M333,P.S. 333 Manhattan School for Children,212-222-1450,"154 West  93 Street, New York, NY 10025",10025.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9173,40.791709,-73.970802
3,03M334,The Anderson School,212-595-7193,"100 West  77 Street, New York, NY 10024",10024.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9175,40.780822,-73.976855
27,27Q297,Hawtree Creek Middle School,718-659-3792,"121-10 Rockaway Boulevard, Queens, NY 11420",11420.0,QUEENS,https://www.myschools.nyc/en/schools/middle-school/12196,40.675771,-73.816938
3,03M415,Wadleigh Secondary School for the Performing & Visual Arts,212-749-5800,"215 West 114 Street, New York, NY 10026",10026.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9180,40.802207,-73.954142
3,03M421,West Prep Academy,212-280-8502,"150 West 105 Street, New York, NY 10025",10025.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9182,40.799376,-73.965308
3,03M859,Special Music School,212-501-3318,"129 West  67 Street, New York, NY 10023",10023.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9191,40.774919,-73.982745
3,03M860,Frederick Douglass Academy II Secondary School,212-865-9260,"215 West 114 Street, New York, NY 10026",10026.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9194,40.802207,-73.954142
4,04M007,P.S. 007 Samuel Stern,212-860-5827,"160 East 120 Street, New York, NY 10035",10035.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9237,40.801007,-73.939349
4,04M012,Tag Young Scholars,212-860-6003,"240 East 109 Street, New York, NY 10029",10029.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9241,40.79307,-73.942303
4,04M057,James Weldon Johnson,212-876-5522,"176 East 115 Street, New York, NY 10029",10029.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9249,40.797577,-73.94128
4,04M072,The Lexington Academy,212-860-5831,"131 East 104 Street, New York, NY 10029",10029.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9253,40.791179,-73.947776
9,09X313,I.S. 313 School of Leadership Development,718-583-1736,"1600 Webster Avenue, Bronx, NY 10457",10457.0,BRONX,https://www.myschools.nyc/en/schools/middle-school/9908,40.840878,-73.904754
4,04M096,P.S. 096 Joseph Lanzetta,212-860-5851,"216 East 120 Street, New York, NY 10035",10035.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9260,40.800256,-73.937558
4,04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,212-860-5803,"1615 Madison Avenue, New York, NY 10029",10029.0,MANHATTAN,https://www.myschools.nyc/en/schools/middle-school/9271,40.795146,-73.948368
